Part no,Part Dic.,Part Family,Casting P/N,Casting Source,Casting Procress,Plant,SupplierNum,Supplier Name Short,Comodity,RM Grade,Weight,Conversion factor  (number of parts),System Weight (Kg),Purchasing group,UID
141519022041,PUMP HOUSING,In-Line Pump Housing,F002A11001,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,183.6,100,1.836,RD,14151902204197007086
141518623032,PUMP HOUSING,In-Line Pump Housing,,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,14151862303297007086
141519223528,PUMP HOUSING,In-Line Pump Housing,1415123523,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,232.7,100,2.327,RD,14151922352897007086
141517923531,PUMP HOUSING,In-Line Pump Housing,1415123523,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,232.7,100,2.327,RD,14151792353197007086
141518024057,PUMP HOUSING,In-Line Pump Housing,,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,290,100,2.9,RD,14151802405797007086
141519224528,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,14151922452897007086
141516124547,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,14151612454797007086
141517724745,PUMP HOUSING,In-Line Pump Housing,F002A11008,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.8,100,2.658,RD,14151772474597007086
141516724758,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,14151672475897007086
141515526136,PUMP HOUSING,In-Line Pump Housing,1415126176,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,360,100,3.6,RD,14151552613697007086
141514326541,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,14151432654197007086
141512426552,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,14151242655297007086
141519026563,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,14151902656397007086
141513926565,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,14151392656597007086
141519826566,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,14151982656697007086
141517026781,PUMP HOUSING,In-Line Pump Housing,,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,14151702678197007086
141511926786,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,14151192678697007086
